1|24|2|20|85711
2|53|1|14|94043
3|23|2|21|32067
4|24|2|20|43537
5|33|1|14|15213
6|42|2|7|98101
7|57|2|1|91344
8|36|2|1|05201
9|29|2|19|01002
10|53|2|10|90703
11|39|1|14|30329
12|28|1|14|06405
13|47|2|4|29206
14|45|2|18|55106
15|49|1|4|97301
16|21|2|6|10309
17|30|2|15|06355
18|35|1|14|37212
19|40|2|11|02138
20|42|1|9|95660
21|26|2|21|30068
22|25|2|21|40206
23|30|1|2|48197
24|21|1|2|94533
25|39|2|5|55107
26|49|2|5|21044
27|40|1|11|30030
28|32|2|21|55369
29|41|2|15|94043
30|7|2|19|55436
31|24|2|2|10003
32|28|1|19|78741
33|23|2|19|27510
34|38|1|1|42141
35|20|1|9|42459
36|19|1|19|93117
37|23|2|19|55105
38|28|1|14|54467
39|41|2|6|01040
40|38|2|18|27514
41|33|2|5|80525
42|30|2|1|17870
43|29|1|11|20854
44|26|2|20|46260
45|29|2|15|50233
46|27|1|12|46538
47|53|2|12|07102
48|45|2|1|12550
49|23|1|19|76111
50|21|2|21|52245
51|28|2|4|16509
52|18|1|19|55105
53|26|2|15|55414
54|22|2|7|66315
55|37|2|15|01331
56|25|2|11|46260
57|16|2|13|84010
58|27|2|15|52246
59|49|2|4|08403
60|50|2|8|06472
61|36|2|5|30040
62|27|1|1|97214
63|31|2|12|75240
64|32|2|4|43202
65|51|1|4|48118
66|23|2|19|80521
67|17|2|19|60402
68|19|2|19|22904
69|24|2|5|55337
70|27|2|5|60067
71|39|2|18|98034
72|48|1|1|73034
73|24|2|19|41850
74|39|2|18|T8H1N
75|24|2|6|08816
76|20|2|19|02215
77|30|2|20|29379
78|26|2|1|61801
79|39|1|1|03755
80|34|1|1|52241
81|21|2|19|21218
82|50|2|15|22902
83|40|2|14|44133
84|32|2|7|55369
85|51|2|4|20003
86|26|2|1|46005
87|47|2|1|89503
88|49|1|11|11701
89|43|1|1|68106
90|60|2|4|78155
91|55|2|12|01913
92|32|2|6|80525
93|48|2|7|23112
94|26|2|19|71457
95|31|2|1|10707
96|25|1|2|75206
97|43|2|2|98006
98|49|1|7|90291
99|20|2|19|63129
100|36|2|7|90254
101|15|2|19|05146
102|38|2|15|30220
103|26|2|19|55108
104|27|2|19|55108
105|24|2|5|94043
106|61|2|16|55125
107|39|2|18|60466
108|44|2|4|63130
109|29|2|14|55423
110|19|2|19|77840
111|57|2|5|90630
112|30|2|17|60613
113|47|2|7|95032
114|27|2|15|75013
115|31|2|5|17110
116|40|2|8|97232
117|20|2|19|16125
118|21|2|1|90210
119|32|2|15|67401
120|47|1|14|06260
121|54|2|11|99603
122|32|1|21|22206
123|48|1|2|20008
124|34|2|19|60615
125|30|2|10|22202
126|28|1|10|20015
127|33|2|13|73439
128|24|1|12|20009
129|36|1|12|07039
130|20|2|13|60115
131|59|1|1|15237
132|24|2|14|94612
133|53|2|5|78602
134|31|2|15|80236
135|23|2|19|38401
136|51|2|14|97365
137|50|2|4|84408
138|46|2|3|53211
139|20|2|19|08904
140|30|1|19|32250
141|49|2|15|36117
142|13|2|14|48118
143|42|2|20|08832
144|53|2|15|20910
145|31|2|6|V3N4P
146|45|2|2|83814
147|40|1|11|02143
148|33|2|5|97006
149|35|1|12|17325
150|20|1|2|02139
151|38|1|1|48103
152|33|1|4|68767
153|25|2|19|60641
154|25|2|19|53703
155|32|1|14|11217
156|25|2|4|08360
157|57|2|5|70808
158|50|2|4|27606
159|23|1|19|55346
160|27|2|15|66215
161|50|2|10|55104
162|25|2|2|15610
163|49|2|1|97212
164|47|2|8|80123
165|20|1|14|53715
166|47|2|4|55113
167|37|2|14|L9G2B
168|48|2|14|80127
169|52|1|14|53705
170|53|1|8|30067
171|48|1|4|78750
172|55|2|12|22207
173|56|2|14|22306
174|30|1|1|52302
175|26|1|18|21911
176|28|2|18|07030
177|20|2|15|19104
178|26|2|14|49512
179|15|2|6|20755
180|22|1|1|60202
181|26|2|7|21218
182|36|2|15|33884
183|33|2|18|27708
184|37|2|11|76013
185|53|1|11|97403
186|39|1|7|00000
187|26|2|4|16801
188|42|2|19|29440
189|32|2|2|95014
190|30|2|1|95938
191|33|2|1|95161
192|42|2|4|90840
193|29|2|19|49931
194|38|2|1|02154
195|42|2|18|93555
196|49|2|21|55105
197|55|2|20|75094
198|21|1|19|55414
199|30|2|21|17604
200|40|2|15|93402
201|27|2|21|E2A4H
202|41|1|4|60201
203|25|1|19|32301
204|52|1|11|10960
205|47|2|10|06371
206|14|1|19|53115
207|39|2|12|92037
208|43|2|5|01720
209|33|1|4|85710
210|39|2|5|03060
211|66|2|17|32605
212|49|1|4|61401
213|33|2|7|55345
214|26|1|11|11231
215|35|2|15|63033
216|22|2|5|02215
217|22|2|14|11727
218|37|2|1|06513
219|32|2|15|43212
220|30|2|11|78205
221|19|2|19|20685
222|29|2|15|27502
223|19|1|19|47906
224|31|1|4|43512
225|51|1|1|58202
226|28|2|19|92103
227|46|2|7|60659
228|21|1|19|22003
229|29|1|11|22903
230|28|1|19|14476
231|48|2|11|01080
232|45|2|18|99709
233|38|2|5|98682
234|60|2|16|94702
235|37|2|4|22973
236|44|1|21|53214
237|49|2|1|63146
238|42|1|1|44124
239|39|2|2|95628
240|23|1|4|20784
241|26|1|19|20001
242|33|2|4|31404
243|33|2|4|60201
244|28|2|20|80525
245|22|2|19|55109
246|19|2|19|28734
247|28|2|5|20770
248|25|2|19|37235
249|25|2|19|84103
250|29|2|7|95110
251|28|2|3|85032
252|42|2|5|07733
253|26|1|11|22903
254|44|2|4|42647
255|23|2|6|07029
256|35|1|13|39042
257|17|2|19|77005
258|19|1|19|77801
259|21|2|19|48823
260|40|1|2|89801
261|28|2|1|85202
262|19|1|19|78264
263|41|2|15|55346
264|36|1|21|90064
265|26|2|7|84601
266|62|1|1|78756
267|23|2|5|83716
268|24|2|5|19422
269|31|1|11|43201
270|18|1|19|63119
271|51|2|5|22932
272|33|2|18|53706
273|50|1|14|10016
274|20|1|19|55414
275|38|2|5|92064
276|21|2|19|95064
277|35|1|1|55406
278|37|1|11|30033
279|33|2|15|85251
280|30|1|11|22903
281|15|1|19|06059
282|22|2|1|20057
283|28|2|15|55305
284|40|2|7|92629
285|25|2|15|53713
286|27|2|19|15217
287|21|2|17|31211
288|34|2|12|23226
289|11|2|13|94619
290|40|2|5|93550
291|19|2|19|44106
292|35|1|15|94703
293|24|2|21|60804
294|34|2|20|92110
295|31|2|4|50325
296|43|1|1|16803
297|29|1|4|98103
298|44|2|7|01581
299|29|2|3|63108
300|26|1|15|55106
301|24|2|19|55439
302|42|2|4|77904
303|19|2|19|14853
304|22|1|19|71701
305|23|2|15|94086
306|45|2|14|73132
307|25|2|19|55454
308|60|2|16|95076
309|40|2|18|70802
310|37|2|4|91711
311|32|2|20|73071
312|48|2|14|02110
313|41|2|12|60035
314|20|1|19|08043
315|31|2|4|18301
316|43|1|14|77009
317|22|2|1|13210
318|65|2|16|06518
319|38|2|15|22030
320|19|2|19|24060
321|49|1|4|55413
322|20|2|19|50613
323|21|2|19|19149
324|21|1|19|02176
325|48|2|20|02139
326|41|2|1|15235
327|22|2|19|11101
328|51|2|1|06779
329|48|2|4|01720
330|35|1|4|33884
331|33|2|6|91344
332|20|2|19|40504
333|47|2|14|V0R2M
334|32|2|11|30002
335|45|2|7|33775
336|23|2|17|42101
337|37|2|18|10522
338|39|1|11|59717
339|35|2|10|37901
340|46|2|5|80123
341|17|1|19|44405
342|25|1|14|98006
343|43|2|5|30093
344|30|1|11|94117
345|28|1|11|94143
346|34|2|14|76059
347|18|2|19|90210
348|24|1|19|45660
349|68|2|16|61455
350|32|2|19|97301
351|61|2|4|49938
352|37|1|15|55105
353|25|2|18|28480
354|29|1|11|48197
355|25|2|19|60135
356|32|1|9|92688
357|26|2|7|98133
358|40|2|4|10022
359|22|2|19|61801
360|51|2|14|98027
361|22|2|19|44074
362|35|1|9|85233
363|20|2|19|87501
364|63|2|5|01810
365|29|2|10|20009
366|20|1|19|50670
367|17|2|19|37411
368|18|2|19|92113
369|24|2|19|91335
370|52|2|21|08534
371|36|2|5|99206
372|25|1|19|66046
373|24|1|14|55116
374|36|2|7|78746
375|17|2|6|37777
376|28|1|14|10010
377|22|2|19|18015
378|35|2|19|02859
379|44|2|15|98117
380|32|2|5|55117
381|33|2|2|94608
382|45|2|5|01824
383|42|2|1|75204
384|52|2|15|45218
385|36|2|21|10003
386|36|2|17|43221
387|33|2|6|37412
388|31|2|14|36106
389|44|1|21|83702
390|42|1|21|85016
391|23|2|19|84604
392|52|2|21|59801
393|19|2|19|83686
394|25|2|1|96819
395|43|2|14|44092
396|57|2|5|94551
397|17|2|19|27514
398|40|2|14|60008
399|25|2|14|92374
400|33|1|1|78213
401|46|1|8|84107
402|30|2|5|95129
403|37|2|14|06811
404|29|1|15|55108
405|22|1|8|10019
406|52|2|4|93109
407|29|2|5|03261
408|23|2|19|61755
409|48|2|1|98225
410|30|1|2|94025
411|34|2|4|44691
412|25|2|4|15222
413|55|2|4|78212
414|24|2|15|38115
415|39|2|4|85711
416|20|1|19|92626
417|27|1|14|48103
418|55|1|13|21206
419|37|2|10|43215
420|53|2|4|02140
421|38|1|15|55105
422|26|2|6|94533
423|64|2|14|91606
424|36|1|12|55422
425|19|2|19|58644
426|55|2|4|01602
427|51|2|3|85258
428|28|2|19|55414
429|27|2|19|29205
430|38|2|18|98199
431|24|2|12|92629
432|22|2|6|50311
433|27|2|2|11211
434|16|1|19|49705
435|24|2|5|60007
436|30|1|1|17345
437|27|1|14|20009
438|51|1|1|43204
439|23|1|1|20817
440|30|2|14|48076
441|50|2|20|55013
442|22|2|19|85282
443|35|2|17|33308
444|51|1|10|53202
445|21|2|21|92653
446|57|2|4|60201
447|30|2|1|55113
448|23|2|6|10021
449|23|2|11|55021
450|35|1|4|11758
451|16|2|19|48446
452|35|2|1|28018
453|18|2|19|06333
454|57|2|14|97330
455|48|2|1|83709
456|24|2|20|31820
457|33|1|17|30011
458|47|2|20|Y1A6B
459|22|2|19|29201
460|44|1|14|60630
461|15|2|19|98102
462|19|1|19|02918
463|48|1|8|75218
464|60|2|21|94583
465|32|2|14|05001
466|22|2|19|90804
467|29|2|5|91201
468|28|2|5|02341
469|60|2|4|78628
470|24|2|15|10021
471|10|2|19|77459
472|24|2|19|87544
473|29|2|19|94708
474|51|2|7|93711
475|30|2|15|75230
476|28|2|19|60440
477|23|1|19|02125
478|29|2|14|10019
479|30|2|4|55409
480|57|2|16|98257
481|73|2|16|37771
482|18|1|19|40256
483|29|2|18|43212
484|27|2|19|21208
485|44|1|4|95821
486|39|2|4|93101
487|22|2|5|92121
488|48|2|20|21012
489|55|2|14|45218
490|29|1|2|V5A2B
491|43|1|21|53711
492|57|2|4|94618
493|22|2|5|60090
494|38|1|1|49428
495|29|2|5|03052
496|21|1|19|55414
497|20|2|19|50112
498|26|2|21|55408
499|42|2|15|75006
500|28|2|1|94305
501|22|2|19|10025
502|22|2|19|23092
503|50|1|21|27514
504|40|1|21|92115
505|27|1|14|20657
506|46|2|15|03869
507|18|1|21|28450
508|27|2|12|19382
509|23|2|1|10011
510|34|2|14|98038
511|22|2|19|21250
512|29|2|14|20090
513|43|2|1|26241
514|27|2|15|20707
515|53|2|12|49508
516|53|1|11|10021
517|24|2|19|55454
518|49|1|21|99709
519|22|2|14|55320
520|62|2|8|12603
521|19|2|19|02146
522|36|2|5|55443
523|50|1|1|04102
524|56|2|4|02159
525|27|1|1|19711
526|30|2|12|97124
527|33|2|11|12180
528|18|2|19|55104
529|47|1|1|44224
530|29|2|5|94040
531|30|1|17|97408
532|20|2|19|92705
533|43|2|11|02324
534|20|2|19|05464
535|45|1|4|80302
536|38|2|5|30078
537|36|2|5|22902
538|31|2|18|21010
539|53|1|1|80303
540|28|2|5|91201
541|19|1|19|84302
542|21|2|19|60515
543|33|2|18|95123
544|44|1|14|29464
545|27|2|20|08052
546|36|2|7|22911
547|50|2|4|14534
548|51|2|21|95468
549|42|2|18|45680
550|16|1|19|95453
551|25|2|15|55414
552|45|2|14|68147
553|58|2|4|62901
554|32|2|18|62901
555|29|1|4|23227
556|35|1|4|30606
557|30|1|21|11217
558|56|1|21|63132
559|69|2|7|10022
560|32|2|19|10003
561|23|2|5|60005
562|54|1|1|20879
563|39|1|11|32707
564|65|2|16|94591
565|40|2|19|55422
566|20|2|19|14627
567|24|2|6|10003
568|39|2|4|01915
569|34|2|4|91903
570|26|2|4|14627
571|34|2|2|01945
572|51|2|4|20003
573|68|2|16|48911
574|56|2|4|53188
575|33|2|12|46032
576|48|2|7|98281
577|36|1|19|77845
578|31|2|1|M7A1A
579|32|2|4|48103
580|16|2|19|17961
581|37|2|14|94131
582|17|2|19|93003
583|44|2|5|29631
584|25|2|19|27511
585|69|2|11|98501
586|20|2|19|79508
587|26|2|14|14216
588|18|1|19|93063
589|21|2|10|90034
590|50|2|4|82435
591|57|1|11|92093
592|18|2|19|97520
593|31|1|4|68767
594|46|2|4|M4J2K
595|25|2|15|31909
596|20|2|2|77073
597|23|2|14|84116
598|40|1|12|43085
599|22|1|19|R3T5K
600|34|2|15|02320
601|19|1|2|99687
602|47|1|14|34656
603|21|2|15|47905
604|39|2|4|11787
605|33|2|5|33716
606|28|2|15|63044
607|49|1|8|02154
608|22|2|14|10003
609|13|1|19|55106
610|22|2|19|21227
611|46|2|11|77008
612|36|2|4|79070
613|37|1|12|29678
614|54|2|4|80227
615|38|2|4|27705
616|55|2|18|50613
617|27|1|21|11201
618|15|1|19|44212
619|17|2|19|44134
620|18|1|21|81648
621|17|2|19|60402
622|25|2|15|14850
623|50|1|4|60187
624|19|2|19|30067
625|27|2|15|20723
626|23|2|18|19807
627|24|2|5|08034
628|13|2|13|94306
629|46|1|14|44224
630|26|1|8|55408
631|18|1|19|38866
632|18|2|19|55454
633|35|2|15|55414
634|39|2|5|T8H1N
635|22|2|14|23237
636|47|2|4|48043
637|30|2|14|74101
638|45|2|5|01940
639|42|1|11|12065
640|20|2|19|61801
641|24|2|19|60626
642|18|1|19|95521
643|39|2|18|55122
644|51|2|16|63645
645|27|2|15|53211
646|17|1|19|51250
647|40|2|4|45810
648|43|2|5|91351
649|20|2|19|39762
650|42|2|5|83814
651|65|2|16|02903
652|35|2|14|22911
653|31|2|7|55105
654|27|1|19|78739
655|50|1|8|60657
656|48|2|4|10314
657|26|1|13|78704
658|33|2|15|92626
659|31|2|4|54248
660|26|2|19|77380
661|28|2|15|98121
662|55|2|11|19102
663|26|2|14|19341
664|30|2|5|94115
665|25|2|1|55412
666|44|2|1|61820
667|35|2|11|01970
668|29|1|21|10016
669|37|2|14|20009
670|30|2|20|21114
671|21|2|15|91919
672|54|1|1|90095
673|51|2|4|22906
674|13|1|19|55337
675|34|2|14|28814
676|30|2|15|32712
677|20|2|14|99835
678|50|2|4|61462
679|20|1|19|54302
680|33|2|10|90405
